,,COST,COST,TIME_in_micro_s,TIME_in_micro_s
,,mean,std,mean,std
N,ALGO,,,,
10,CL,3135698.9,240579.66400039813,4.2,0.4216370213557839
10,MST,3515207.7,461092.4883951761,2.6,0.5163977794943222
10,NN,3133407.6,375995.14620779647,1.8,2.2010098692292237
50,CL,6190830.8,430010.0771022826,45.6,0.8432740427115683
50,MST,6900974.7,295093.8350649576,14.7,0.6749485577105531
50,NN,6667177.7,328007.0922990165,3.9,0.31622776601683794
100,CL,7720699.2,436366.1371793696,192.3,2.451756739791102
100,MST,8637952.5,304992.3634968403,40.6,0.9660917830792954
100,NN,7981803.9,373344.08526792616,10.0,0.0
200,CL,10589853.0,573494.027131156,1046.0,244.04280134617557
200,MST,11740123.3,440647.4508732828,295.2,407.7528663295943
200,NN,11349965.4,777697.6977219647,39.4,16.727887560066343
400,CL,14606939.0,382957.30270589923,3885.0,175.8338862550548
400,MST,16372068.5,396560.3554910231,412.7,38.727107933447456
400,NN,15775060.4,548942.623790137,118.3,13.928787137116824
600,CL,17259939.8,342408.80574567267,9244.1,220.45077555872768
600,MST,19732467.3,397503.6977580763,871.9,69.51170964505025
600,NN,18712208.2,590807.5016940422,256.1,26.71849130803942
800,CL,19995207.6,478609.2688377209,16681.4,137.16591737340923
800,MST,22725967.1,463951.95852574834,1369.4,38.81923921631293
800,NN,21812717.3,461068.7763254341,463.4,21.90991657776096
1000,CL,21705718.0,0.0,26706.4,845.6199829447951
1000,MST,25384302.9,202733.66860569088,2069.6,77.90335893485805
1000,NN,24041571.9,437669.6409628437,751.7,64.52053936538347
